x,y,y_predicted,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6
3615,0.000251953,0.0002576426074852468,2.3859473585895027e-07,6.798692923444685e-33,3.736418183306616e-08,3.3448557551880355e-23,5.5258768512812374e-05,0.0002024857213432835
3610,0.000299792,0.000269769254502312,2.4186018693311607e-07,6.891541412251914e-33,3.792602616466695e-08,3.396493117502097e-23,5.77277399479443e-05,0.000212139569629811
3605,0.000285106,0.0002825388005980682,2.451931263485124e-07,6.98630263523339e-33,3.8500627506950475e-08,3.449335345768266e-23,6.02884814695705e-05,0.00022234446666318333
3600,0.000324757,0.0002959764191055213,2.485954264428234e-07,7.083029427136497e-33,3.9088374651149483e-08,3.5034202122973254e-23,6.294266590398067e-05,0.00023312391068898775
3595,0.000331498,0.00031010502472051543,2.520690249269855e-07,7.181776457335104e-33,3.9689671299411963e-08,3.558786981042682e-23,6.569190350361907e-05,0.00024449920380921106
3590,0.000332479,0.0003249442262011461,2.556159276430161e-07,7.282600306709912e-33,4.0304936755673206e-08,3.6154764788379126e-23,6.853773877181099e-05,0.00025648840785347753
3585,0.000395148,0.00034050904579588517,2.5923821145851233e-07,7.385559548308835e-33,4.093460665412679e-08,3.673531170634668e-23,7.148164780156584e-05,0.0002691050664647478
3580,0.000363609,0.00035680837684304295,2.6293802730561255e-07,7.490714832000979e-33,4.157913372764904e-08,3.732995238999682e-23,7.452503621240851e-05,0.00028235666475814224
3575,0.000407057,0.0003738431559927784,2.667176033727202e-07,7.59812897335154e-33,4.223898861869833e-08,3.793914668148625e-23,7.766923777593966e-05,0.0002962428029133884
3570,0.000409678,0.0003916042364052793,2.70579248457827e-07,7.707867046959473e-33,4.291466073539114e-08,3.856337332815099e-23,8.091551382810637e-05,0.0003107530699565208
3565,0.000428881,0.0004100699648392073,2.7452535549285226e-07,7.81999648451557e-33,4.360665915565107e-08,3.920313092275292e-23,8.426505357405525e-05,0.0003258646205390446
3560,0.00047954,0.00042920349068953465,2.785584052490379e-07,7.934587177855336e-33,4.431551358253783e-08,3.985893889872899e-23,8.771897540002934e-05,0.0003415394826592148
3555,0.000472772,0.00044894987059500757,2.8268097023410647e-07,8.05171158729914e-33,4.5041775354090416e-08,4.053133858415101e-23,9.12783293161616e-05,0.00035772165982179884
3550,0.000451526,0.00046923307949698424,2.8689571879260434e-07,8.171444855591473e-33,4.578601851126465e-08,4.1220894318386516e-23,9.494410066433374e-05,0.0003743341383838877
3545,0.000479824,0.0004899530980364095,2.912054194216277e-07,8.293864927771995e-33,4.654884092781218e-08,4.192819463576e-23,9.871721523664641e-05,0.00039127596982795477
3540,0.000559384,0.0005109833147830156,2.956129453149547e-07,8.419052677333352e-33,4.7330865506236185e-08,4.265385352084717e-23,0.00010259854596264405,0.00040841966629809144
3535,0.000565251,0.0005321685545617111,3.001212791495025e-07,8.5470920390449e-33,4.813274144427189e-08,4.3398511740399234e-23,0.0001065889213374404,0.00042560922049221793
3530,0.000541491,0.0005533241112788335,3.047335181289868e-07,8.678070148847195e-33,4.8955145576679916e-08,4.416283825728926e-23,0.00011068913577849993,0.000442659128125169
3525,0.000628955,0.0005742362104119533,3.0945287930070005e-07,8.812077491250087e-33,4.979878379750783e-08,4.494753173230293e-23,0.00011489996211628248,0.00045935483792111366
3520,0.000489166,0.0005946643335196126,3.142827051624366e-07,8.949208054697156e-33,5.0664392568376375e-08,4.575332212006593e-23,0.00011922216644351265,0.0004754550612669102
3515,0.000627191,0.000614345783407247,3.192264695778008e-07,9.089559495391517e-33,5.155274051878043e-08,4.658097236591081e-23,0.00012365652556978153,0.0004906963199159099
3510,0.000596978,0.0006330027350774022,3.2428778401943126e-07,9.233233310112933e-33,5.246463014486893e-08,4.743128021104453e-23,0.00012820384735284289,0.0005047999765989361
3505,0.000631963,0.0006503517947513828,3.2947040416107605e-07,9.380335018593618e-33,5.3400899613681254e-08,4.830508011398737e-23,0.0001328649942056769,0.0005174817705304723
3500,0.000613807,0.0006661157847608214,3.3477823684097326e-07,9.530974356060721e-33,5.436242468037915e-08,4.9203245296919585e-23,0.00013764091010952368,0.0005284635752783175
3495,0.000655944,0.0006800371172578633,3.4021534742062377e-07,9.685265476597255e-33,5.5350120726623556e-08,5.012668992630055e-23,0.00014253265149802028,0.0005374867415802369
3490,0.000714465,0.0006918917706569674,3.4578596756482185e-07,9.843327168020464e-33,5.6364944928912086e-08,5.1076371437922325e-23,0.00014754142241669014,0.0005443260386163247
3485,0.000634263,0.0007015026135121621,3.514945034707214e-07,1.0005283079027858e-32,5.7407898566420634e-08,5.205329301743275e-23,0.0001526686144056863,0.0005488029379929797
3480,0.000700451,0.0007087507066446062,3.5734554457579965e-07,1.0171261959416344e-32,5.848002947868648e-08,5.30585062483207e-23,0.00015791585160219066,0.0005507968707569021
