x,y,y_predicted,peak_1,peak_2,peak_3,peak_4,peak_5
3515,0.000627191,0.0006221012151419368,1.1171744662906909e-07,1.0541818467024282e-08,3.992075689341993e-07,9.619745467230458e-05,0.0005184769853467856
3510,0.000596978,0.0006386794346582289,1.1348974700195213e-07,1.0709068899760323e-08,4.0632199286726727e-07,0.000100542872671582,0.0005307007328890616
3505,0.000631963,0.0006537807075564,1.1530455745605602e-07,1.088033130110381e-08,4.136282911843263e-07,0.00010508049703942251,0.0005412550890482197
3500,0.000613807,0.0006672059748201371,1.1716324843060397e-07,1.1055735019533994e-08,4.211334255318683e-07,0.00010981617760002054,0.0005499351365223182
3495,0.000655944,0.0006787832075634519,1.190672460372348e-07,1.1235414658592297e-08,4.288446761451549e-07,0.00011475584433162356,0.000556562907606171
3490,0.000714465,0.0006883766220976858,1.210180347961055e-07,1.141951033517181e-08,4.3676965950367183e-07,0.00011990552153669149,0.000560996585067543
3485,0.000634263,0.0006958945584104645,1.2301716053016702e-07,1.1608167952739604e-08,4.449163471385978e-07,0.00012527134532626063,0.0005631383631197661
3480,0.000700451,0.0007012951914217146,1.2506623342814843e-07,1.1801539490486765e-08,4.532930856789976e-07,0.00013085958464260507,0.0005629401376316956
3475,0.000708662,0.0007045894339841182,1.271669312875845e-07,1.1999783309476132e-08,4.619086182308522e-07,0.00013667666600427288,0.000560406384358201
3470,0.000740641,0.0007058406955025769,1.2932100295008232e-07,1.2203064476939385e-08,4.7077210719116887e-07,0.00014272920210067934,0.000555593888938463
3465,0.00070289,0.0007051615280948374,1.3153027194196154e-07,1.2411555109963562e-08,4.798931586083121e-07,0.00014902402428532848,0.0005486083605350324
3460,0.000698228,0.0007027075541751631,1.3379664033442055e-07,1.26254347399033e-08,4.892818482094804e-07,0.00015556821891200975,0.0005395983230510532
3455,0.000747213,0.0006986693576461064,1.3612209283848866e-07,1.2844890698959534e-08,4.989487492269933e-07,0.00016236916732030073,0.0005287469663042249
3450,0.000783153,0.0006932631877321325,1.3850870115122515e-07,1.3070118530479078e-08,5.089049621668685e-07,0.0001694345890971394,0.0005162628065643282
3445,0.000690792,0.0006867213528462785,1.409586285709404e-07,1.3301322424653244e-08,5.191621466761682e-07,0.00017677258800995755,0.0005023700344498329
3440,0.000764856,0.0006792830861083707,1.4347413490063726e-07,1.3538715681428346e-08,5.297325556799267e-07,0.000184391699711463,0.00048729933270182937
3435,0.000708057,0.0006711864814484484,1.4605758166042824e-07,1.3782521202587844e-08,5.406290719742577e-07,0.00019230093994151548,0.0004712797640432794
3430,0.000663249,0.0006626618764140104,1.4871143763138112e-07,1.4032972015126118e-08,5.518652474796889e-07,0.00020050985147944874,0.00045453210698861914
3425,0.000624656,0.0006539268383664984,1.5143828475509595e-07,1.4290311828208705e-08,5.634553453780286e-07,0.0002090285475089416,0.0004372637986267791
3420,0.000661786,0.0006451827263057785,1.5424082441534182e-07,1.4554795626204997e-08,5.75414385377384e-07,0.0002178677483215676,0.00041966545968997565
3415,0.000651775,0.0006366126676217677,1.5712188413029283e-07,1.4826690300488268e-08,5.877581923735421e-07,0.00022703880737494445,0.0004019088451912026
3410,0.000605935,0.0006283807104785417,1.6008442468632488e-07,1.510627532292649e-08,6.00503448802068e-07,0.0002365537216036389,0.0003841459864372751
3405,0.00065886,0.0006206318814625117,1.6313154774698447e-07,1.5393843464237912e-08,6.136677510044943e-07,0.00024642511951934054,0.0003665092605121391
3400,0.000597023,0.000613492882730947,1.6626650397364887e-07,1.568970156065962e-08,6.272696699641877e-07,0.0002566662189936689,0.0003491121295729633
3395,0.000640807,0.0006070731902378323,1.6949270169758303e-07,1.5994171332678462e-08,6.413288168033162e-07,0.00026729074465653473,0.0003320503216026476
3390,0.000532112,0.0006014663532318474,1.728137161865995e-07,1.630759025990427e-08,6.558659134722221e-07,0.0002783127925365525,0.00031540326518655985
3385,0.000560958,0.0005967513363950326,1.7623329955337363e-07,1.663031251652841e-08,6.709028691069547e-07,0.00028974662690445805,0.00029923563472058134
3380,0.000592774,0.0005929937839840413,1.797553913566973e-07,1.6962709972210412e-08,6.864628625803269e-07,0.00030160639127088966,0.00028359890346042613
3375,0.000579232,0.0005902471170436026,1.833841299516104e-07,1.7305173263675044e-08,7.025704318272619e-07,0.00031390571219819816,0.0002685328368215455
3370,0.000530837,0.0005885533991043518,1.8712386464948333e-07,1.7658112942787085e-08,7.192515705871843e-07,0.00032665717114717065,0.00025406688612018537
3365,0.000555485,0.000587943923079464,1.9097916875478233e-07,1.8021960707405477e-08,7.365338332756339e-07,0.00033987161623737634,0.0002402214635905336
3360,0.000520702,0.0005884394835553188,1.9495485355150007e-07,1.8397170721908837e-08,7.544464487751183e-07,0.0003535572829527963,0.00022700909384065762
3355,0.000541158,0.0005900503060881435,1.9905598331914118e-07,1.87842210349366e-08,7.730204440226558e-07,0.0003677186910824848,0.00021443544606846555
3350,0.000548484,0.0005927756105601486,2.0328789146579114e-07,1.9183615102611683e-08,7.922887783697504e-07,0.00038235528543468616,0.00020250025655170793
3345,0.000592128,0.0005966027914421446,2.0765619787425951e-07,1.9595883426309573e-08,8.122864898012318e-07,0.0003974597913260542,0.00019119815325617225
3340,0.000643255,0.0006015062064914855,2.1216682756666854e-07,2.0021585314924844e-08,8.330508542242117e-07,0.000413016264133058,0.0001805193948025053
3335,0.000621299,0.0006074455797076008,2.1682603080326608e-07,2.0461310782569028e-08,8.546215591793543e-07,0.00042899782728966426,0.000170450535228355
3330,0.000589009,0.0006143640470973966,2.216404047428072e-07,2.0915682593726115e-08,8.770408934860756e-07,0.00044536411729994944,0.00016097502452780817
3325,0.00062714,0.0006221859076694368,2.2661691680471217e-07,2.1385358469106885e-08,9.003539545138463e-07,0.00046205848991699445,0.00015207375323383836
3320,0.000705076,0.0006308141891977895,2.317629298875273e-07,2.18710334667958e-08,9.246088749766175e-07,0.00047900509047894824,0.000143725547591694
3315,0.000567961,0.0006401281994455454,2.3708622961418589e-07,2.237344255479244e-08,9.498570713801686e-07,0.0004961059541011717,0.00013590762031200827
3310,0.000648838,0.0006499813070271481,2.425950537923825e-07,2.2893363392732545e-08,9.761535165170988e-07,0.0005132383762263824,0.00012859598057824725
3305,0.000631425,0.0006601992763803574,2.482981242982916e-07,2.3431619342454708e-08,1.0035570387062514e-06,0.00053025287536115,0.00012176580594804402
3300,0.000661371,0.000670579557609979,2.542046816141397e-07,2.398908272918347e-08,1.0321306508183383e-06,0.000546972146875117,0.00011539177803088407
3295,0.000701101,0.0006808919872757255,2.603245222751066e-07,2.4566678377457357e-08,1.0619419125242456e-06,0.0005631914625515336,0.00010944838332219866
3290,0.000668024,0.0006908813677800301,2.6666803950903067e-07,2.5165387448575564e-08,1.0930633296549422e-06,0.0005786809824443666,0.00010391018029023465
3285,0.000703588,0.0007002723350866889,2.732462673838491e-07,2.578625160930818e-08,1.1255727950815015e-06,0.0005931903877783699,9.875203370542805e-05
3280,0.000693664,0.0007087767740821648,2.800709288130862e-07,2.6430377564956944e-08,1.1595540761216165e-06,0.000606456093181085,9.394931722976381e-05
3275,0.000740673,0.0007161037866601534,2.871544878095539e-07,2.7098941993618157e-08,1.1950973541682927e-06,0.0006182110421820507,8.947808540531491e-05
3270,0.000771458,0.0007219718701739167,2.9451020642238565e-07,2.7793196922746065e-08,1.2322998230327742e-06,0.0006281967422981702,8.531521636055234e-05
3265,0.000748108,0.0007261225638069664,3.0215220684330695e-07,2.8514475593912284e-08,1.2712663534157613e-06,0.0006361767957231938,8.143852675910327e-05
3260,0.000778772,0.0007283344389214972,3.100955392255054e-07,2.9264198867084537e-08,1.3121102319907535e-06,0.0006419507999394607,7.782686072313683e-05
3255,0.000719012,0.0007284360377213255,3.1835625582356386e-07,3.004388222189849e-08,1.3549539848273914e-06,0.0006453672206567068,7.44601546529295e-05
3250,0.000752148,0.0007263162906248631,3.2695149213681325e-07,3.0855143420376526e-08,1.3999302963326639e-06,0.0006463337653828666,7.131948002129032e-05
3245,0.00072132,0.0007219311215596309,3.358995558224536e-07,3.169971090348257e-08,1.4471830365819722e-06,0.0006448239646302874,6.838706633721934e-05
3240,0.000775867,0.0007153053783283902,3.4522002424043274e-07,3.257943300293721e-08,1.4968684118962152e-06,0.0006408790956279191,6.564630654251514e-05
3235,0.000820241,0.000706529831257897,3.5493385160115946e-07,3.3496288060023855e-08,1.5491562558508841e-06,0.0006346051894468273,6.308174712674143e-05
3230,0.000664719,0.0006957536443077461,3.650634868117768e-07,3.445239555489231e-08,1.6042314806459815e-06,0.0006261655234343362,6.067906522158101e-05
3225,0.000714425,0.0006831732988071109,3.756330032593917e-07,3.545002836334623e-08,1.6622957120033787e-06,0.0006157695769057249,5.8425034868943626e-05
3220,0.000690481,0.0006690193267765447,3.86668241933285e-07,3.649162627355981e-08,1.7235691345910034e-06,0.0006036598049313256,5.630748455360497e-05
3215,0.000666915,0.0006535423317611944,3.981969694761211e-07,3.7579810912931504e-08,1.7882925795235021e-06,0.0005900977061554816,5.4315247956983936e-05
3210,0.000584859,0.0006369996510219484,4.102490529706007e-07,3.871740225573128e-08,1.856729890907179e-06,0.0005753505366562408,5.243810973075784e-05
3205,0.000553178,0.000619643708607187,4.228566535176659e-07,3.9907436905787396e-08,1.9291706148687056e-06,0.0005596797176987987,5.066674791427988e-05
3200,0.000557972,0.0006017127154545177,4.3605444095095235e-07,4.115318837572689e-08,2.0059330622619424e-06,0.0005433315920392581,4.899267443485467e-05
3195,0.00053289,0.0005834239786539605,4.4987983236649403e-07,4.2458189615872725e-08,2.087367805570649e-06,0.0005265307895966144,4.740817494097675e-05
3190,0.000512569,0.0005649697523589645,4.64373257534798e-07,4.382625808257425e-08,2.173861681772845e-06,0.0005094761338416793,4.59062490310787e-05
3185,0.000536827,0.0005465153311615442,4.79578454714014e-07,4.526152367842165e-08,2.265842386551191e-06,0.0004923387887489942,4.4480551758789924e-05
3180,0.000517016,0.0005281989580432147,4.955428009096271e-07,4.676845994656727e-08,2.363783761783917e-06,0.0004752622176078309,4.3125337123927364e-05
3175,0.00051046,0.0005101330785615382,5.123176812418878e-07,4.835191895956723e-08,2.468211898441739e-06,0.0004583634846747727,4.183540409930594e-05
3170,0.000500792,0.0004924064965109053,5.299589028038909e-07,5.0017170411358836e-08,2.5797122017479197e-06,0.00044173545434811687,4.060604559900899e-05
3165,0.000475762,0.00047508704845023787,5.485271592412437e-07,5.176994550113072e-08,2.698937595879749e-06,0.00042544950479553464,3.943300066526478e-05
3160,0.000403684,0.00045822449363930247,5.680885532833426e-07,5.361648629226301e-08,2.826618083072604e-06,0.0004095584521887287,3.831241003910926e-05
3155,0.000395663,0.0004418533964939364,5.88715185636571e-07,5.556360134106252e-08,2.9635719186305913e-06,0.00039409946231494985,3.724077518456198e-05
3150,0.000455089,0.00042599585111659406,6.104858200480217e-07,5.761872852217431e-08,3.110718721510351e-06,0.00037909679880109823,3.621492075659894e-05
3145,0.000429313,0.0004106639571763384,6.334866360097867e-07,5.97900061345811e-08,3.269094913033225e-06,0.0003645643168934594,3.5231960438885054e-05
3140,0.000447504,0.00039586200226966533,6.578120825539237e-07,6.208635355925451e-08,3.4398719681000632e-06,0.0003505076575497737,3.428926602686206e-05
3135,0.000391807,0.0003815883388662089,6.83565848955454e-07,6.451756296327605e-08,3.6243780795797574e-06,0.0003369261294918831,3.338443959401093e-05
3130,0.000356639,0.00036783696605192603,7.108619710000655e-07,6.709440381363085e-08,3.824123984684933e-06,0.00032381428885115763,3.2515288552453486e-05
3125,0.0003512,0.0003545988398705309,7.398260948902477e-07,6.982874228688323e-08,4.040833891988446e-06,0.0003111632394505368,3.167980340201219e-05
3120,0.000364867,0.0003418629433716187,7.70596924990366e-07,7.273367805105105e-08,4.276482692542799e-06,0.0002989616838342981,3.087613795292007e-05
3115,0.000373339,0.00032961715042734206,8.033278866131779e-07,7.582370136885961e-08,4.5333409563506295e-06,0.0002871967577890593,3.0102591805133782e-05
3110,0.000310701,0.0003178489175234416,8.381890411361776e-07,7.91148740469044e-08,4.814029630833838e-06,0.00027585468081828664,2.935759487032172e-05
3105,0.000278112,0.0003065458362426358,8.753692981698384e-07,8.262503845804984e-08,5.121586904945304e-06,0.0002649212529823811,2.8639693729865252e-05
3100,0.000256356,0.00029569607690469693,9.150789786170896e-07,8.637405972639652e-08,5.4595504284542066e-06,0.00025438222551653344,2.7947539632549466e-05
3095,0.00028024,0.00028528875143213155,9.575527936932112e-07,9.03841072259373e-08,5.832059047146967e-06,0.0002442235692471527,2.7279877948096453e-05
3090,0.000258101,0.00027531422142728897,1.003053318868914e-06,9.467998285773081e-08,6.2439795254637505e-06,0.0002344316614047646,2.663553890651765e-05
3085,0.000264928,0.0002657643760273499,1.0518750589683535e-06,9.928950520336987e-08,6.701065513532065e-06,0.00022499340819305585,2.601342946777399e-05
3080,0.000283826,0.00025663290366057884,1.1043492222225708e-06,1.0424396069215708e-07,7.210158471483323e-06,0.0002158963175364585,2.5412526180905945e-05
3075,0.000230106,0.0002479155826982211,1.1608493481546418e-06,1.095786354799435e-07,7.779443677540548e-06,0.00020712853384201508,2.483186890621455e-05
3070,0.000232132,0.00023961061861697141,1.2217979683424935e-06,1.153334449691745e-07,8.418779244172618e-06,0.0001986788443827416,2.4270555287929207e-05
3065,0.000232136,0.00023171906028359156,1.2876745224677154e-06,1.215536820009098e-07,9.140122890609542e-06,0.00019053666502183246,2.3727735877864624e-05
3060,0.000242197,0.00022424533629831938,1.3590248074084636e-06,1.282909099849042e-07,9.958091050412874e-06,0.0001826920114189948,2.320260982270203e-05
3055,0.000207891,0.00021719796547435717,1.4364723082194455e-06,1.356040339579059e-07,1.0890699249328356e-05,0.0001751354605553933,2.2694421038641824e-05
3050,0.000219314,0.00021059051585025073,1.5207318517246008e-06,1.4356059125229882e-07,1.1960353966641771e-05,0.00016785810634458256,2.2202454807233157e-05
3045,0.000183259,0.00020444291794504015,1.6126261430210904e-06,1.522383147694582e-07,1.3195198235605978e-05,0.00016085151222763514,2.1726034735192145e-05
3040,0.000198972,0.00019878328653485252,1.7131059019173014e-06,1.6172703668025253e-07,1.463096232951507e-05,0.00015410766294891384,2.126452002900973e-05
3035,0.000202273,0.00019365048153153352,1.823274523301331e-06,1.7213101995906535e-07,1.6313547511345338e-05,0.00014761891714593637,2.081730304217509e-05
3030,0.000198976,0.00018909776048809665,1.9444184609608196e-06,1.8357183123074598e-07,1.8302692910270172e-05,0.0001413779619378487,2.0383807058969867e-05
