x,y,y_predicted,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8
3395,0.000640807,0.0006083174342531308,1.1923446603951216e-09,5.060158254617725e-07,1.005238271545549e-06,1.1257856900182257e-06,4.676171533720582e-07,0.00013815982590776953,0.0002813288111404512,2.0537879543136785e-05
3390,0.000532112,0.0005968955766029782,1.2145365308030473e-09,5.159479450711209e-07,1.0255198674176041e-06,1.1509243441360264e-06,4.78665166326692e-07,0.0001445323779352397,0.0002759008728024504,1.9723101475542017e-05
3385,0.000560958,0.0005860453617999153,1.2373536169476101e-09,5.261753738305272e-07,1.0464211986594891e-06,1.1769144337873417e-06,4.901093130925435e-07,0.00015129086692429661,0.0002699203497157239,1.895230624532897e-05
3380,0.000592774,0.0005759533905651216,1.2608196212353413e-09,5.367099355816663e-07,1.0679677609642309e-06,1.2037948443477387e-06,5.019687569536964e-07,0.00015845971438030676,0.0002634713647253862,1.822266854531051e-05
3375,0.000579232,0.0005667898945263037,1.2849593797477775e-09,5.47564051891052e-07,1.0901863740412989e-06,1.2316067064801573e-06,5.142638339286917e-07,0.0001660641656588881,0.00025663814227555386,1.7531557503767315e-05
3370,0.000530837,0.0005587068958516137,1.3097989279203628e-09,5.587507786786152e-07,1.1131052649455924e-06,1.2603935535100755e-06,5.270161399399018e-07,0.000174130062725978,0.00024950281652088717,1.6876524495052766e-05
3365,0.000555485,0.0005518371505146823,1.3353655707026786e-09,5.70283845491888e-07,1.1367541575862903e-06,1.2902014918204248e-06,5.402486256351913e-07,0.0001826835272590563,0.00024214362351338646,1.6255291242751205e-05
3360,0.000520702,0.0005462937304142678,1.3616879575527947e-09,5.821776976464493e-07,1.1611643689446792e-06,1.3210793855118144e-06,5.53985699639171e-07,0.00019175053213451793,0.00023463350613907983,1.5665738344088675e-05
3355,0.000541158,0.0005421700648239767,1.3887961626500698e-09,5.944475414741964e-07,1.18636891258151e-06,1.3530790567093484e-06,5.682533411012918e-07,0.00020135633562693475,0.00022703912772076816,1.5105894301237002e-05
3350,0.000548484,0.0005395402455844229,1.4167217707454544e-09,6.071093929441697e-07,1.2124026100715747e-06,1.3862555030495514e-06,5.830792225096974e-07,0.00021152474891625073,0.00021942026498798081,1.45739251123242e-05
3345,0.000592128,0.0005384594000941724,1.4454979691065617e-09,6.201801299462858e-07,1.2393022110665713e-06,1.4206671340521205e-06,5.984928438548146e-07,0.00022227720412737527,0.00021182953407411712,1.406812445019448e-05
3340,0.000643255,0.0005389639479930141,1.4751596460569318e-09,6.336775485567689e-07,1.2671065227578508e-06,1.4563760282738623e-06,6.145256793571297e-07,0.00023363158769008468,0.0002043123938381781,1.3586904438509285e-05
3335,0.000621299,0.0005410715783218637,1.505743496655398e-09,6.476204236356171e-07,1.2958565495890532e-06,1.4934482133593434e-06,6.31211338121724e-07,0.0002456008031591157,0.00019690736790826556,1.3128787021257716e-05
